关卡,波次ID,触发时间s,段落,敌人ID,敌人名称,数量,生成位置,生成间隔s,移动模式,弹幕模式,掉落道具,掉落率,关联科普ID,备注
关一血潮,L1-W01,2,导入段,E01,糖晶虫,4,顶部均匀,0.4,直线下冲,无,胰岛素结晶,0.3,K02,教学波次低强度
关一血潮,L1-W02,8,导入段,E01,糖晶虫,6,左右两侧,0.3,直线下冲,无,无,0,,
关一血潮,L1-W03,15,推进段,E02,变异白细胞,3,顶部分散,0.6,正弦横移,扇形3发,膳食纤维核心,0.25,,首次出现远程敌人
关一血潮,L1-W04,24,推进段,E01,糖晶虫,8,顶部随机,0.25,直线下冲,无,高糖陷阱,0.15,,投放高糖陷阱诱导误吃
关一血潮,L1-W05,33,推进段,E02,变异白细胞,4,两侧交替,0.5,正弦横移,扇形3发,胰岛素结晶,0.3,,
关一血潮,L1-W06,42,推进段精英,ELITE1,血栓核,1,屏幕中上,-,静止召唤,环形8发,运动能量,1.0,,精英持续召唤糖晶虫
关一血潮,L1-W07,55,Boss前补给,E01,糖晶虫,6,顶部均匀,0.3,直线下冲,无,胰岛素结晶,0.4,,Boss战前补满火力
关一血潮,L1-B,65,Boss段,B01,黏稠之主,1,屏幕中上,-,Boss,见Boss表,-,-,K02,关一Boss半血分裂
关二盲视,L2-W01,2,导入段,E03,出血点,4,顶部分散,0.5,静止爆裂,死亡溅射,胰岛素结晶,0.3,K04,死亡时爆裂溅射
关二盲视,L2-W02,10,推进段,E04,异常新生血管,3,两侧,0.6,缠绕限位,直线2发,膳食纤维核心,0.25,,限制玩家走位
关二盲视,L2-W03,19,推进段,E03,出血点,6,顶部随机,0.4,静止爆裂,死亡溅射,无,0,,配合血雾遮挡机制
关二盲视,L2-W04,28,推进段,MIX23,混合波,5,全屏,0.4,混合,混合,运动能量,0.4,,视野遮挡强化段
关二盲视,L2-W05,38,推进段精英,ELITE2,出血团,1,屏幕中上,-,缓动,环形12发,胰岛素结晶,1.0,,
关二盲视,L2-W06,50,Boss前补给,E04,异常新生血管,4,两侧,0.5,缠绕限位,直线2发,膳食纤维核心,0.4,,
关二盲视,L2-B,60,Boss段,B02,血网之眼,1,屏幕中上,-,Boss,见Boss表,-,-,K04,关二Boss致盲加护盾
关三核心,L3-W01,2,导入段,E05,高糖孢子,3,顶部分散,0.6,漂浮增殖,直线1发,胰岛素结晶,0.3,K07,不清理会自我增殖
关三核心,L3-W02,12,推进段,E06,吞噬细胞,5,顶部随机,0.4,群体扑咬,无,膳食纤维核心,0.25,,近身扑咬
关三核心,L3-W03,22,推进段,E05,高糖孢子,4,全屏,0.5,漂浮增殖,扇形3发,无,0,,增殖压力上升
关三核心,L3-W04,32,推进段,E06,吞噬细胞,8,两侧交替,0.3,群体扑咬,无,运动能量,0.4,,腐蚀云持续伤害区
关三核心,L3-W05,44,推进段精英,ELITE3,孢子母巢,1,屏幕中上,-,静止召唤,环形16发,胰岛素结晶,1.0,,持续产出高糖孢子
关三核心,L3-W06,58,Boss前补给,MIX56,混合波,6,全屏,0.35,混合,混合,膳食纤维核心,0.5,,决战前最后补给
关三核心,L3-B,70,Boss段,B03,胰岛吞噬者,1,屏幕中上,-,Boss三阶段,见Boss表,-,-,K08,终极Boss三阶段
